resnet50P102-100b32n16.log: *===48.9055688615
resnet50P102-100b8n4.log: *===19.5245669969
resnet50P102-100b16n8.log: *===33.5744815588
resnet50P102-100b16n16.log: *===33.1472309133
resnet50P102-100b8n16.log: *===19.5470594952
resnet50P102-100b8n8.log: *===20.4422969409
resnet50P102-100b64n4.log: *===0
resnet50P102-100b8n2.log: *===19.3322594637
resnet50P102-100b32n8.log: *===49.208864924
resnet50P102-100b16n4.log: *===33.4578344334
resnet50P102-100b32n2.log: *===49.1229132935
resnet50P102-100b16n2.log: *===33.222180433
resnet50P102-100b64n2.log: *===0
resnet50P102-100b32n4.log: *===49.4419523511
